Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Journal of earth science & climatic change	J Earth Sci Clim Change	J. Earth. Sci. Clim. Change.
Avances en periodoncia	Av Periodoncia	Av. Periodoncia.
Fibrogenesis & tissue repair	Fibrogenesis Tissue Repair	Fibrogenesis. Tissue. Repair.
Journal of AIDS & clinical research	J AIDS Clin Res	J. AIDS. Clin. Res.
Revue medicale des alpes francaises	Rev Med Alpes Fr	Rev. Med. Alpes. Fr.
American educational research journal	Am Educ Res J	Am. Educ. Res. J.
The Journal of gnathology	J Gnathol	J. Gnathol.
L'annee psychologique	Annee Psychol	Annee. Psychol.
American journal of translational research	Am J Transl Res	Am. J. Transl. Res.
Journal of map & geography libraries	J Map Geogr Libr	J. Map. Geogr. Libr.
Saint Anthony messenger; a national Catholic family magazine	St Anthony Messenger	St. Anthony. Messenger.
Spectroscopy letters; an international journal for rapid communication	Spectrosc Lett	Spectrosc. Lett.
Sociology of development (Oakland, Calif.)	Sociol Dev (Oakl)	Sociol. Dev. (Oakl).
Transboundary and emerging diseases	Transbound Emerg Dis	Transbound. Emerg. Dis.
Linguistic approaches to bilingualism	Linguist Approaches Biling	Linguist. Approaches. Biling.
Korean journal of ophthalmology : KJO	Korean J Ophthalmol	Korean. J. Ophthalmol.
Nuevas ideas; revista de medicina	Nuevas Ideas Rev Med	Nuevas. Ideas. Rev. Med.
The Journal of southern history	J South Hist	J. South. Hist.
Immunological investigations	Immunol Invest	Immunol. Invest.
International journal for multiscale computational engineering	Int J Multiscale Comput Eng	Int. J. Multiscale. Comput. Eng.
Journal of post Keynesian economics	J Post Keynes Econ	J. Post. Keynes. Econ.
Journal of Cancer	J Cancer	J. Cancer.
... IEEE conference on high performance extreme computing. IEEE Conference on High Performance Extreme Computing	IEEE Conf High Perform Extreme Comput	IEEE. Conf. High. Perform. Extreme. Comput.
Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi	Zhonghua. Min. Guo. Xiao. Er. Ke. Yi. Xue. Hui. Za. Zhi.
Bahia medica	Bahia Med	Bahia. Med.
The Journal of steroid biochemistry and molecular biology	J Steroid Biochem Mol Biol	J. Steroid. Biochem. Mol. Biol.
IEEE International Conference on Development and Learning and Epigenetic Robotics : [proceedings]. IEEE International Conference on Development and Learning and Epigenetic Robotics	IEEE Int Conf Dev Learn Epigenetic Robot	IEEE. Int. Conf. Dev. Learn. Epigenetic. Robot.
Annales de l'anesthesiologie francaise	Ann Anesthesiol Fr	Ann. Anesthesiol. Fr.
The international journal of diversity in organisations, communities and nations	Int J Divers Organ Communities Nations	Int. J. Divers. Organ. Communities. Nations.
Journal of basic microbiology	J Basic Microbiol	J. Basic. Microbiol.
Virologica Sinica	Virol Sin	Virol. Sin.
Zhi wu sheng li yu fen zi sheng wu xue xue bao = Journal of plant physiology and molecular biology	Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao	Zhi. Wu. Sheng. Li. Yu. Fen. Zi. Sheng. Wu. Xue. Xue. Bao.
Annales des Societes belges de medecine tropicale, de parasitologie, et de mycologie	Ann Soc Belges Med Trop Parasitol Mycol	Ann. Soc. Belges. Med. Trop. Parasitol. Mycol.
Zentralblatt fur Arbeitsmedizin, Arbeitsschutz und Prophylaxe	Zentralbl Arbeitsmed Arbeitsschutz Prophyl	Zentralbl. Arbeitsmed. Arbeitsschutz. Prophyl.
Catalysis today	Catal Today	Catal. Today.
Society of General Physiologists series	Soc Gen Physiol Ser	Soc. Gen. Physiol. Ser.
Gnitif	Genitif	Genitif.
Quarterly review of allergy and applied immunology	Q Rev Allergy Appl Immunol	Q. Rev. Allergy. Appl. Immunol.
Protocol exchange	Protoc exch	Protoc. exch.
Data strategies & benchmarks : the monthly advisory for health care executives	Data Strateg Benchmarks	Data. Strateg. Benchmarks.
The AFCS-nature molecule pages	AFCS Nat Mol Pages	AFCS. Nat. Mol. Pages.
Iranian biomedical journal	Iran Biomed J	Iran. Biomed. J.
International journal of urban and regional research	Int J Urban Reg Res	Int. J. Urban. Reg. Res.
Polymer chemistry	Polym Chem	Polym. Chem.
Deutsche Zeitschrift fur Mund-, Kiefer- und Gesichts-Chirurgie	Dtsch Z Mund Kiefer Gesichtschir	Dtsch. Z. Mund. Kiefer. Gesichtschir.
Cancer investigation	Cancer Invest	Cancer. Invest.
Stanford environmental law journal	Stanf Environ Law J	Stanf. Environ. Law. J.
Dimensions (New York, N.Y.)	Dimensions (N Y N Y)	Dimensions. (N. Y. N. Y).
Journal of the American Medical Directors Association	J Am Med Dir Assoc	J. Am. Med. Dir. Assoc.
The American journal of geriatric pharmacotherapy	Am J Geriatr Pharmacother	Am. J. Geriatr. Pharmacother.
Bulletin - North Shore Branch, Chicago Medical Society	Bull North Shore Branch Chic Med Soc	Bull. North. Shore. Branch. Chic. Med. Soc.
Thrombosis journal	Thromb J	Thromb. J.
CESifo economic studies	CESifo Econ Stud	CESifo. Econ. Stud.
Acta microbiologica Hungarica	Acta Microbiol Hung	Acta. Microbiol. Hung.
Revista colombiana de pediatria y puericultura	Rev Colomb Pediatr Pueric	Rev. Colomb. Pediatr. Pueric.
Communications in statistics: theory and methods	Commun Stat Theory Methods	Commun. Stat. Theory. Methods.
American journal of practical nursing	Am J Pract Nurs	Am. J. Pract. Nurs.
Journal of inborn errors of metabolism and screening	J Inborn Errors Metab Screen	J. Inborn. Errors. Metab. Screen.
Doklady Akademii nauk	Dokl Akad Nauk	Dokl. Akad. Nauk.
Scanning microscopy	Scanning Microsc	Scanning. Microsc.
LJ special report	LJ Spec Rep	LJ. Spec. Rep.
Journal of the Institute of Agriculture and Animal Science	J Inst Agric Anim Sci	J. Inst. Agric. Anim. Sci.
Proceedings. Transvaal Mine Medical Officers' Association	Proc Transvaal Mine Med Off Assoc	Proc. Transvaal. Mine. Med. Off. Assoc.
Obstetrical & gynecological survey	Obstet Gynecol Surv	Obstet. Gynecol. Surv.
Advances in wound care : the journal for prevention and healing	Adv Wound Care	Adv. Wound. Care.
Asian and Pacific migration journal : APMJ	Asian Pac Migr J	Asian. Pac. Migr. J.
Jahrbuch der Universitat Dusseldorf	Jahrb Univ Duesseld	Jahrb. Univ. Duesseld.
Migration letters : an international journal of migration studies	Migrat Lett	Migrat. Lett.
The Journal of medical humanities and bioethics	J Med Humanit Bioeth	J. Med. Humanit. Bioeth.
Drug court review	Drug Court Rev	Drug. Court. Rev.
New perspectives on Turkey	New Perspect Turk	New. Perspect. Turk.
U. S. medicine	US Med	US. Med.
Contemporary materials	Contemp Mater	Contemp. Mater.
Psychiatric opinion	Psychiatr Opin	Psychiatr. Opin.
Bulletin Of The National Guild Of Catholic Psychiatrists	Bull Natl Guild Cathol Psychiatr	Bull. Natl. Guild. Cathol. Psychiatr.
New directions for student leadership	New Dir Stud Leadersh	New. Dir. Stud. Leadersh.
Nutrition and healthy aging	Nutr Healthy Aging	Nutr. Healthy. Aging.
Journal of nephropathology	J Nephropathol	J. Nephropathol.
Slovansky prehled	Slov Prehl	Slov. Prehl.
HSOA journal of community medicine & public health care	HSOA J Community Med Public Health Care	HSOA. J. Community. Med. Public. Health. Care.
Postal history international	Postal Hist Int	Postal. Hist. Int.
Contemporary administrator	Contemp Adm	Contemp. Adm.
Revue de Comminges (Pyrenees Centrales)	Rev Comminges	Rev. Comminges.
The Art bulletin	Art Bull	Art. Bull.
BMC pregnancy and childbirth	BMC Pregnancy Childbirth	BMC. Pregnancy. Childbirth.
La Ricerca scientifica. 2. ser., pt.1: Rivista	Ric Sci 2 Ser Pt 1 Riv	Ric. Sci. 2. Ser. Pt. 1. Riv.
Past & present	Past Present	Past. Present.
Advances in bioscience and biotechnology (Print)	Adv Biosci Biotechnol	Adv. Biosci. Biotechnol.
Revista de sanidad	Rev Sanid	Rev. Sanid.
Schweizerische Zeitschrift fur Homoopathie. Journal suisse d'homoeopathie	Schweiz Z Homoopath	Schweiz. Z. Homoopath.
Cardiovascular pharmacology: open access	Cardiovasc Pharm Open Access	Cardiovasc. Pharm. Open. Access.
Human pathology (New York)	Hum Pathol (N Y)	Hum. Pathol. (N. Y).
Malaria chemotherapy, control & elimination	Malar Chemother Control Elimin	Malar. Chemother. Control. Elimin.
McKinney's Consolidated laws of New York annotated : with annotations from state and federal courts and state agencies. New York (State)	McKinneys Consol Laws N Y Annot N Y State	McKinneys. Consol. Laws. N. Y. Annot. N. Y. State.
American journal of stem cells	Am J Stem Cells	Am. J. Stem. Cells.
Journal of environmental protection	J Environ Prot (Irvine, Calif)	J. Environ. Prot. (Irvine,. Calif).
Sleep Science (Sao Paulo, Brazil)	Sleep Sci	Sleep. Sci.
Soins. Gerontologie	Soins Gerontol	Soins. Gerontol.
Arc de cercle : an international journal of the history of the mind-sciences	Arc Cercle	Arc. Cercle.
Shika rikogaku zasshi. Journal of the Japan Society for Dental Apparatus and Materials	Shika Rikogaku Zasshi	Shika. Rikogaku. Zasshi.
Rinsho geka. Journal of clinical surgery	Rinsho Geka	Rinsho. Geka.
Community eye health	Community Eye Health	Community. Eye. Health.
DE; the journal of dental engeering	DE J Dent Eng	DE. J. Dent. Eng.
19th century music	19th Century Music	19th. Century. Music.
Stereotactic and functional neurosurgery	Stereotact Funct Neurosurg	Stereotact. Funct. Neurosurg.
The New England journal of medicine	N Engl J Med	N. Engl. J. Med.
Pharmedical notes ...	Pharmedical Notes	Pharmedical. Notes.
Turk hemsireler dergisi	Turk Hemsire Derg	Turk. Hemsire. Derg.
Medicinal chemistry	Med Chem (Los Angeles)	Med. Chem. (Los. Angeles).
Criminal law review (London, England)	Crim Law Rev	Crim. Law. Rev.
International journal of current chemistry	Int J Curr Chem	Int. J. Curr. Chem.
The North Carolina historical review	N C Hist Rev	N. C. Hist. Rev.
Facts about infant feeding	Facts Infant Feed	Facts. Infant. Feed.
Journal Of The Australian Institute Of Surgical And Dental Technicians (Melbourne)	J Aust Inst Surg Dent Tech	J. Aust. Inst. Surg. Dent. Tech.
Cell biophysics	Cell Biophys	Cell. Biophys.
Merrill-Palmer quarterly of behavior and development	Merrill Palmer Q Behav Dev	Merrill. Palmer. Q. Behav. Dev.
One health (Amsterdam, Netherlands)	One Health	One. Health.
La Clinica pediatrica	Clin Pediatr (Bologna)	Clin. Pediatr. (Bologna).
International journal of health policy and management	Int J Health Policy Manag	Int. J. Health. Policy. Manag.
COO [reports]. U.S. Atomic Energy Commission	COO Rep	COO. Rep.
Borsuye : Zeitschrift fur Medizin u. Kultur	Borsuye	Borsuye.
Colloid and polymer science	Colloid Polym Sci	Colloid. Polym. Sci.
Comptes rendus des seances de l'Academie des sciences. Serie D, Sciences naturelles	C R Seances Acad Sci D	C. R. Seances. Acad. Sci. D.
Sociological review monograph	Sociol Rev Monogr	Sociol. Rev. Monogr.
Bulletin. Roswell Park Memorial Institute	Bull Roswell Park Meml Inst	Bull. Roswell. Park. Meml. Inst.
American journal of educational research	Am J Educ Res	Am. J. Educ. Res.
Archives of sexual behavior	Arch Sex Behav	Arch. Sex. Behav.
Neurosurgery quarterly	Neurosurg Q	Neurosurg. Q.
Journal of immunological techniques in infectious diseases	J Immunol Tech Infect Dis	J. Immunol. Tech. Infect. Dis.
Journal of policy analysis and management : [the journal of the Association for Public Policy Analysis and Management]	J Policy Anal Manage	J. Policy. Anal. Manage.
Clinical diabetes and endocrinology	Clin Diabetes Endocrinol	Clin. Diabetes. Endocrinol.
Physiological measurement	Physiol Meas	Physiol. Meas.
Theoretical biology & medical modelling	Theor Biol Med Model	Theor. Biol. Med. Model.
IIC; international review of industrial property and copyright law	IIC Int Rev Ind Prop Copyr Law	IIC. Int. Rev. Ind. Prop. Copyr. Law.
Open Longevity Science	Open Longev Sci	Open. Longev. Sci.
Medicina dello sport; rivista di fisiopatologia dello sport	Med Sport (Roma)	Med. Sport. (Roma).
No to shinkei = Brain and nerve	No To Shinkei	No. To. Shinkei.
New era nursing image international : NENI	New Era Nurs Image Int	New. Era. Nurs. Image. Int.
Medecine & chirurgie digestives	Med Chir Dig	Med. Chir. Dig.
First language	First Lang	First. Lang.
Revue des etudes italiennes	Rev Etud Ital	Rev. Etud. Ital.
Virology journal	Virol J	Virol. J.
Springer seminars in immunopathology	Springer Semin Immunopathol	Springer. Semin. Immunopathol.
Spore (English edition)	Spore	Spore.
Indian journal of physics and proceedings of the Indian Association for the Cultivation of Science (2004)	Indian J Phys Proc Indian Assoc Cultiv Sci (2004)	Indian. J. Phys. Proc. Indian. Assoc. Cultiv. Sci. (2004).
Pattern recognition	Pattern Recognit	Pattern. Recognit.
Boletim do Centro de Estudos, Hospital dos Servidores do Estado	Bol Cent Estud Hosp Serv Estado	Bol. Cent. Estud. Hosp. Serv. Estado.
Revista de igiena, medicina muncii, medicina sociala, bacteriologie, virusologie, parazitologie, epidemiologie, pneumoftiziologie. Pneumoftiziologie	Rev Ig Med Muncii Med Soc Bacteriol Virusol Parazitol Epidemiol Pneumoftiziol Pneumoftiziol	Rev. Ig. Med. Muncii. Med. Soc. Bacteriol. Virusol. Parazitol. Epidemiol. Pneumoftiziol. Pneumoftiziol.
Schiff und Zeit	Schiff Zeit	Schiff. Zeit.
Advance for NPs & PAs	Adv NPs PAs	Adv. NPs. PAs.
The China geographer	Chnia Geogr	Chnia. Geogr.
Limnology and oceanography	Limnol Oceanogr	Limnol. Oceanogr.
Journal of biomaterials and nanobiotechnology	J Biomater Nanobiotechnol	J. Biomater. Nanobiotechnol.
Journal of nanophotonics	J Nanophotonics	J. Nanophotonics.
Psychological inquiry	Psychol Inq	Psychol. Inq.
Clinical effectiveness in nursing	Clin Eff Nurs	Clin. Eff. Nurs.
Studii si cercetari de inframicrobiologie	Stud Cercet Inframicrobiol	Stud. Cercet. Inframicrobiol.
Monographs of the American Association on Mental Retardation	Monogr Am Assoc Ment Retard	Monogr. Am. Assoc. Ment. Retard.
University of Cincinnati law review. University of Cincinnati. College of Law	Univ Cincinnati Law Rev	Univ. Cincinnati. Law. Rev.
The national Catholic bioethics quarterly	Natl Cathol Bioeth Q	Natl. Cathol. Bioeth. Q.
The journal of headache and pain	J Headache Pain	J. Headache. Pain.
Communication & medicine	Commun Med	Commun. Med.
Brasil-medico	Bras Med	Bras. Med.
Journal of avian biology		.
Science translational medicine	Sci Transl Med	Sci. Transl. Med.
Folia allergologica	Folia Allergol (Roma)	Folia. Allergol. (Roma).
Fiji medical journal	Fiji Med J	Fiji. Med. J.
Engineering failure analysis	Eng Fail Anal	Eng. Fail. Anal.
Computerized tomography	Comput Tomogr	Comput. Tomogr.
Arbeiderhistorie	Arbeiderhistorie	Arbeiderhistorie.
Acta pathologica et microbiologica Scandinavica. Section C, Immunology	Acta Pathol Microbiol Scand C	Acta. Pathol. Microbiol. Scand. C.
Studies in history of medicine	Stud Hist Med	Stud. Hist. Med.
Digestive diseases and sciences	Dig Dis Sci	Dig. Dis. Sci.
Lille chirurgical	Lille Chir	Lille. Chir.
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	Acad Psychiatry	Acad. Psychiatry.
Acta geographica Croatica : glasilo Geografskog odjela PMF-a Sveucilista u Zagrebu	Acta Geogr Croat	Acta. Geogr. Croat.
Discussions of the Faraday Society	Discuss Faraday Soc	Discuss. Faraday. Soc.
Journal of schizophrenia research	J Schizophr Res	J. Schizophr. Res.
BMB reports	BMB Rep	BMB. Rep.
Journal of cellular and comparative physiology	J Cell Comp Physiol	J. Cell. Comp. Physiol.
Consensus development conference summaries	Consens Dev Conf Summ Natl Inst Health	Consens. Dev. Conf. Summ. Natl. Inst. Health.
Revue d'epidemiologie et de sante publique	Rev Epidemiol Sante Publique	Rev. Epidemiol. Sante. Publique.
The international journal of science in society	Int J Sci Soc	Int. J. Sci. Soc.
Glasnik. Belgrad. Higijenski institut NR Srbije	Glas Belgrad Hig Inst NR Srb	Glas. Belgrad. Hig. Inst. NR. Srb.
Japanese economic review (Oxford, England)	Jpn Econ Rev (Oxf)	Jpn. Econ. Rev. (Oxf).
Pediatric neuroscience	Pediatr Neurosci	Pediatr. Neurosci.
Statutes of California and digests of measures. California	Statut Calif Dig Meas Calif	Statut. Calif. Dig. Meas. Calif.
Biotronics	Biotronics	Biotronics.
Langenbecks Archiv fur Chirurgie. Supplement II, Verhandlungen der Deutschen Gesellschaft fur Chirurgie. Deutsche Gesellschaft fur Chirurgie. Kongress	Langenbecks Arch Chir Suppl II Verh Dtsch Ges Chir	Langenbecks. Arch. Chir. Suppl. II. Verh. Dtsch. Ges. Chir.
Cuadernos del CENDES	Cuad CENDES	Cuad. CENDES.
Crossroads (De Kalb, Ill.)	Crossroads (De Kalb)	Crossroads. (De. Kalb).
Physiology and molecular biology of plants : an international journal of functional plant biology	Physiol Mol Biol Plants	Physiol. Mol. Biol. Plants.
Zeitschrift fur experimentelle und angewandte Psychologie	Z Exp Angew Psychol	Z. Exp. Angew. Psychol.
Journal of neuroimmunology	J Neuroimmunol	J. Neuroimmunol.
Pages documentaires	Pages Doc	Pages. Doc.
Warwickshire history	Warwickshire Hist	Warwickshire. Hist.
Diabetes spectrum : a publication of the American Diabetes Association	Diabetes Spectr	Diabetes. Spectr.
Immunology, endocrine & metabolic agents in medicinal chemistry	Immunol Endocr Metab Agents Med Chem	Immunol. Endocr. Metab. Agents. Med. Chem.
Governing	Governing	Governing.
The computer journal	Comput J	Comput. J.
Bioactive materials	Bioact Mater	Bioact. Mater.
Aux Plaines news	Aux Plaines News	Aux. Plaines. News.
Anglican theological review	Anglican Theol Rev	Anglican. Theol. Rev.
International journal of nanodimension	Int J Nanodimens	Int. J. Nanodimens.
Electronic commerce research and applications	Electron Commer Res Appl	Electron. Commer. Res. Appl.
Library resources & technical services	Libr Resour Tech Serv	Libr. Resour. Tech. Serv.
Hamdard Islamicus : quarterly journal of the Hamdard National Foundation, Pakistan	Hamdard Islam	Hamdard. Islam.
The journal of international trade & economic development	J Int Trade Econ Dev	J. Int. Trade. Econ. Dev.
The Family planner	Fam Plann (Palo Alto)	Fam. Plann. (Palo. Alto).
Clinical science and molecular medicine. Supplement	Clin Sci Mol Med Suppl	Clin. Sci. Mol. Med. Suppl.
The Historian; a journal of history	Historian	Historian.
JMIR public health and surveillance	JMIR Public Health Surveill	JMIR. Public. Health. Surveill.
Expert review of anticancer therapy	Expert Rev Anticancer Ther	Expert. Rev. Anticancer. Ther.
ASN neuro	ASN Neuro	ASN. Neuro.
Rural reconstruction forum	Rural Reconstr Forum	Rural. Reconstr. Forum.
Administrative change	Adm Change	Adm. Change.
Kvartalsskrift. Svenska nationalforeningen mot tuberkulos	Kvartalsskrift	Kvartalsskrift.
Journal of aquatic animal health	J Aquat Anim Health	J. Aquat. Anim. Health.
The International journal of periodontics & restorative dentistry	Int J Periodontics Restorative Dent	Int. J. Periodontics. Restorative. Dent.
Australian orthodontic journal	Aust Orthod J	Aust. Orthod. J.
Clinical allergy	Clin Allergy	Clin. Allergy.
Studium	Studium	Studium.
Nasza przeszlosc	Nasza Przeslosc	Nasza. Przeslosc.
Medical humanities review	Med Humanit Rev	Med. Humanit. Rev.
Journal of the California Dental Association	J Calif Dent Assoc	J. Calif. Dent. Assoc.
Aesthetic surgery journal	Aesthet Surg J	Aesthet. Surg. J.
FDA drug bulletin	FDA Drug Bull	FDA. Drug. Bull.
Case reports in neurological medicine	Case Rep Neurol Med	Case. Rep. Neurol. Med.
Enfermeria clinica	Enferm Clin	Enferm. Clin.
Africa South of the Sahara	Afr South	Afr. South.
Hermes	Hermes (Wiesb)	Hermes. (Wiesb).
Brain research	Brain Res	Brain. Res.
Contributions in biology and geology	Contrib Biol Geol	Contrib. Biol. Geol.
C.I.C.I.A.M.S. nouvelles	CICIAMS Nouv	CICIAMS. Nouv.
The Journal of creative behavior	J Creat Behav	J. Creat. Behav.
Actualites de physiologie pathologique	Actual Physiol Pathol (Paris)	Actual. Physiol. Pathol. (Paris).
Dementia (London, England)	Dementia (London)	Dementia. (London).
International journal of nursing (New York, N.Y.)	Int J Nurs (N Y)	Int. J. Nurs. (N. Y).
Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists)	Ophthalmic Physiol Opt	Ophthalmic. Physiol. Opt.
World journal of psychiatry	World J Psychiatry	World. J. Psychiatry.
The journal of positive psychology	J Posit Psychol	J. Posit. Psychol.
Bulletin - New Jersey Society of Dentistry for Children	Bull N J Soc Dent Child	Bull. N. J. Soc. Dent. Child.
Revista de la Facultad de Odontologia (San Miguel de Tucuman, Argentina)	Rev Fac Odontol Tucuman	Rev. Fac. Odontol. Tucuman.
Atti del congresso nazionale. Societa italiana di medicina legale e delle assicurazioni	Atti Congr Naz Soc Ital Med Leg	Atti. Congr. Naz. Soc. Ital. Med. Leg.
Journal of family medicine & community health	J Fam Med Community Health	J. Fam. Med. Community. Health.
Review - Federation of American Hospitals	Rev Fed Am Hosp	Rev. Fed. Am. Hosp.
Geometric science of information : first international conference, GSI 2013, Paris, France, August 28-30, 2013 : proceedings. Geometric Science of Information (1st : 2013 : Paris, France)	Geom Sci Inf (2013)	Geom. Sci. Inf. (2013).
Evolutionary anthropology	Evol Anthropol	Evol. Anthropol.
Journal of cell science. Supplement	J Cell Sci Suppl	J. Cell. Sci. Suppl.
Current topics in radiation research quarterly	Curr Top Radiat Res Q	Curr. Top. Radiat. Res. Q.
Igaku to seibutsugaku. Medicine and biology	Igaku To Seibutsugaku	Igaku. To. Seibutsugaku.
Annals of the ICRP	Ann ICRP	Ann. ICRP.
3 Biotech	3 Biotech	3. Biotech.
Estudios latinoamericanos (Mexico City, Mexico)	Estud Latinoam	Estud. Latinoam.
Journal of supramolecular structure	J Supramol Struct	J. Supramol. Struct.
Esope : bi-mensuel social, politique, economique	Esope	Esope.
Academic pediatrics	Acad Pediatr	Acad. Pediatr.
The Pan African medical journal	Pan Afr Med J	Pan. Afr. Med. J.
Chemie der Erde : Beitrage zur chemischen Mineralogie, Petrographie und Geologie	Chem Erde	Chem. Erde.
Fund raising management	Fund Raising Manage	Fund. Raising. Manage.
Proceedings of the SIGCHI conference on human factors in computing systems . CHI Conference	Proc SIGCHI Conf Hum Factor Comput Syst	Proc. SIGCHI. Conf. Hum. Factor. Comput. Syst.
The John Marshall journal of practice and procedure	John Marshall J Pract Proced	John. Marshall. J. Pract. Proced.
Frontiers in molecular biosciences	Front Mol Biosci	Front. Mol. Biosci.
Arquivos brasileiros de cardiologia	Arq Bras Cardiol	Arq. Bras. Cardiol.
Osaka city medical journal	Osaka City Med J	Osaka. City. Med. J.
Organizational ethics : healthcare, business, and policy : OE	Organ Ethic	Organ. Ethic.
Archivos. Sociedad de Biologia de Montevideo	Arch Soc Biol Montev	Arch. Soc. Biol. Montev.
Nephrologie & therapeutique	Nephrol Ther	Nephrol. Ther.
Optical engineering (Redondo Beach, Calif.)	Opt Eng	Opt. Eng.
Computational statistics & data analysis	Comput Stat Data Anal	Comput. Stat. Data. Anal.
Analog integrated circuits and signal processing	Analog Integr Circuits Signal Process	Analog. Integr. Circuits. Signal. Process.
Clinical schizophrenia & related psychoses	Clin Schizophr Relat Psychoses	Clin. Schizophr. Relat. Psychoses.
Research letters in signal processing	Res Lett Signal Process	Res. Lett. Signal. Process.
A.M.A. American journal of diseases of children	AMA Am J Dis Child	AMA. Am. J. Dis. Child.
Cancer science	Cancer Sci	Cancer. Sci.
Mathematical and computer modelling of dynamical systems	Math Comput Model Dyn Syst	Math. Comput. Model. Dyn. Syst.
Journal of environmental science and health. Part A, Environmental science and engineering	J Environ Sci Health A Environ Sci Eng	J. Environ. Sci. Health. A. Environ. Sci. Eng.
Biochimica et biophysica acta	Biochim Biophys Acta	Biochim. Biophys. Acta.
Current drug targets. Inflammation and allergy	Curr Drug Targets Inflamm Allergy	Curr. Drug. Targets. Inflamm. Allergy.
Die Unterrichtspraxis. Teaching German	Unterrichtspraxis	Unterrichtspraxis.
Australian family physician	Aust Fam Physician	Aust. Fam. Physician.
Cytotherapy	Cytotherapy	Cytotherapy.
Proceedings of the 2014 ACM Southeast Regional Conference	Proc 2014 ACM Southeast Reg Conf	Proc. 2014. ACM. Southeast. Reg. Conf.
The Volunteer leader	Volunt Leader	Volunt. Leader.
Labour (Committee on Canadian Labour History)	Labour	Labour.
Quarterly population bulletin. New Zealand. Department of Statistics	Q Popul Bull	Q. Popul. Bull.
EcoSal Plus	EcoSal Plus	EcoSal. Plus.
Inflammation	Inflammation	Inflammation.
Revista paulista de tisiologia e do torax	Rev Paul Tisiol Torax	Rev. Paul. Tisiol. Torax.
Les cahiers de Tunisie	Cah Tunis	Cah. Tunis.
International journal of school & educational psychology	Int J Sch Educ Psychol	Int. J. Sch. Educ. Psychol.
Fibrinolysis	Fibrinolysis	Fibrinolysis.
Annals of emergency medicine	Ann Emerg Med	Ann. Emerg. Med.
Pulse (Basel, Switzerland)	Pulse (Basel)	Pulse. (Basel).
Pacific Northwest quarterly	Pac Northwest Q	Pac. Northwest. Q.
Indian journal of surgical oncology	Indian J Surg Oncol	Indian. J. Surg. Oncol.
Hospital (Rio de Janeiro, Brazil)	Hospital (Rio J)	Hospital. (Rio. J).
Bulletin (Southern California Academy of Sciences)		.
The biochemist	Biochem (Lond)	Biochem. (Lond).
Cellscience	Cellscience	Cellscience.
Journal of orthopaedics	J Orthop	J. Orthop.
Head and neck pathology	Head Neck Pathol	Head. Neck. Pathol.
Atomic energy review	At Energy Rev	At. Energy. Rev.
Case reports in anesthesiology	Case Rep Anesthesiol	Case. Rep. Anesthesiol.
Progress in biophysics and molecular biology	Prog Biophys Mol Biol	Prog. Biophys. Mol. Biol.
Purdon's Pennsylvania statutes, annotated. Pennsylvania	Purdons Pa Statut Annot Pa	Purdons. Pa. Statut. Annot. Pa.
IEEE transactions on circuits and systems for video technology : a publication of the Circuits and Systems Society	IEEE Trans Circuits Syst Video Technol	IEEE. Trans. Circuits. Syst. Video. Technol.
The Australian journal of optometry	Aust J Optom	Aust. J. Optom.
The Journal of the Association of Nurses in AIDS Care : JANAC	J Assoc Nurses AIDS Care	J. Assoc. Nurses. AIDS. Care.
Anthropotes	Anthropotes	Anthropotes.
Journal of European public policy	J Eur Public Policy	J. Eur. Public. Policy.
Hua xi yi ke da xue xue bao = Journal of West China University of Medical Sciences = Huaxi yike daxue xuebao	Hua Xi Yi Ke Da Xue Xue Bao	Hua. Xi. Yi. Ke. Da. Xue. Xue. Bao.
Manufacturing chemist and aerosol news	Manuf Chem Aerosol News	Manuf. Chem. Aerosol. News.
Social and labour bulletin	Soc Labour Bull	Soc. Labour. Bull.
Journal of infusion nursing : the official publication of the Infusion Nurses Society	J Infus Nurs	J. Infus. Nurs.
Primary care	Prim Care	Prim. Care.
Technology and innovation	Technol Innov	Technol. Innov.
Rapports. Congres national de la tuberculose	Rapp Congr Natl Tuberc	Rapp. Congr. Natl. Tuberc.
New Hampshire revised statutes annotated, 1955. New Hampshire	N H Revis Statut Annot N H	N. H. Revis. Statut. Annot. N. H.
Separation and purification technology	Sep Purif Technol	Sep. Purif. Technol.
Critical arts	Crit Arts	Crit. Arts.
Revista iberica de endocrinologia	Rev Iber Endocrinol	Rev. Iber. Endocrinol.
Italian journal of orthopaedics and traumatology	Ital J Orthop Traumatol	Ital. J. Orthop. Traumatol.
JMIR medical informatics	JMIR Med Inform	JMIR. Med. Inform.
London Clinic medical journal	Lond Clin Med J	Lond. Clin. Med. J.
Syracuse law & civic engagement	Syracuse Law Civ Engagem	Syracuse. Law. Civ. Engagem.
Individual differences research : IDR	Individ Differ Res	Individ. Differ. Res.
DA, West Asia report	DA West Asia Rep	DA. West. Asia. Rep.
Administrative radiology : AR	Adm Radiol	Adm. Radiol.
